text	label
미네랄 샴푸 앤 워시 소개해드릴께요~	['O', 'O', 'O', 'O', 'O']
인상을 쓰며 변신하려는 순간을 곧잘 흉내내곤 했다고 한다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
거칠어진손 얼굴만 가능? NO!	['O', 'O', 'O', 'O']
여행자들이 한 번씩 꼭 들르는 카페라고 보았음	['O', 'O', 'O', 'O', 'O', 'O', 'O']
화장하기전에 발라도 좋고	['PDT-B', 'PDT-I', 'PDT-I']
착용감 역시 부드러웠다.	['PDT-B', 'PDT-I', 'PDT-I']
내 쌩얼의 자신감 #타임리프 리페어 블레미쉬 #비비	['PDT-B', 'PDT-I', 'PDT-I', 'O', 'O', 'O', 'O']
`치매`라고 하면 통상 우스꽝스럽게 여기거나 불쾌해하거나 짜증스러운 그런 이미지를 떠올린다. 멀쩡하던 사람이 바보같아지고, 함께하는 가족들은 속 뒤집어진다. 수많은 작품 속에서 알츠하이머는 그렇게 주변에서 보는 관찰자 입장에서 다루어진다. 하지만 이 영화는 다른 관점에서 알츠하이머를 보여주고 있다. 바로 알츠하이머에 걸려 서서히 기억을 잃어가는 본인의 입장에서 말이다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
믿을 수 있는 성분으로 만든	['PDT-B', 'PDT-I', 'PDT-I', 'PDT-I', 'PDT-I']
지나가다가 뜬금없이 태권도..인지 뭔지를 하는 사람들 발견	['O', 'O', 'O', 'O', 'O', 'O', 'O']
손으로 직전딴 100%자연꽃잎	['O', 'O', 'O']
솔아용 미니언즈 선쿠션이 있으면	['O', 'O', 'O', 'O']
이 영화는 17세기 영국, 2대 로체스터 백작인 존 윌모트의 삶을 다루고 있다. 뛰어난 예술성을 갖고 있으면서도 풍기문란하여 꽤나 파란만장한 인생을 살았고, 그의 이야기는 연극으로 많이 만들어졌었다고 한다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
올리브영 상품평 1위	['O', 'O', 'O']
#출산선물 로도 굿굿	['PDT-B', 'PDT-I', 'PDT-I']
내 짐도 없어서 텅텅	['O', 'O', 'O', 'O']
내 얼굴 돌려내 !	['O', 'O', 'O', 'O']
영양채워주고 탄력있게 탱탱하게	['PDT-B', 'PDT-B', 'PDT-B']
ㅎㅅㅎ 요색넘나넘나조음꺄갸	['PDT-B', 'PDT-I']
늘 천재 내지는 특별한 능력을 가진 사람을 동경해왔다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
아래는 비세후쿠기 가로수길. 여기도 안 왔으면 후회할 뻔. 나무가 수두룩 빽빽하다. 그 너머에는 바다가 펼쳐지고 정말 아름다웠다. 이사온 집은 주변에 산이 없고, 아파트 단지에도 나무라고는 눈을 씻어야 보일까 말까하는 삭막한 곳이라 나도 모르게 나무가 그리웠는데 여기서 실컷 봤다.	['O', 'O', 'O', 'O', 'TRV-B', 'TRV-I', 'TRV-I', 'TRV-I', 'TRV-B', 'TRV-I', 'TRV-I', 'O', 'O', 'O', 'O', 'TRV-B', 'TRV-I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
향기가 필요한곳 어디에나 뿜뿜!	['O', 'O', 'O', 'O']
사랑에도 적정한 거리가 필요하다. 사랑한다고 해서 매일같이 붙어있고, 모든 것을 함께 하려고만 한다면 어느 순간 `숨 쉴 틈`조차 없음을 느낄 때가 오게 마련이다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
몰입이 1도 안되고	['MOV-B', 'MOV-I', 'MOV-I']
편하고 즐겁게 감상하기에 적절한 `영화다운 영화`.	['MOV-B', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-B', 'MOV-I']
올리브잎, 위치하젤, 로즈마리	['O', 'O', 'O']
수분공급은 물론 피부결정돈과 유수분밸런스도 맞춰주고	['PDT-B', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I']
시기가 명절전에 받아 더 기분좋아요~	['O', 'O', 'O', 'O', 'O']
꼼나나에는 크림 말고도 미스트, 에센스, 클렌징폼, 마스크팩 등이 있다고 하니	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
이후 전쟁으로 인해 마을의 남자가 전부 끌려가고	['O', 'O', 'O', 'O', 'O', 'O', 'O']
원월드 전망대 장.단점	['O', 'O', 'O']
자극받은 제 두피를 진정시키고 속까지 깨끗하게 만들어주는	['O', 'O', 'PDT-B', 'PDT-I', 'PDT-B', 'PDT-I', 'PDT-I']
아침 저녁으로 꾸준히 사용하고 있는 #안티에이징화장품	['O', 'O', 'O', 'O', 'O', 'O']
참교육이란 이런 것!	['MOV-B', 'MOV-I', 'MOV-I']
병약한 조카 릴리를 위해 갖은 허세를 다 부리는 아저씨 카가치. 릴리를 위하여 포켓몬 대회에서 우승하기 위해 포켓몬 연구원 토리토와 함께 비리를 저지른다. 그 과정에서 꼬지모가 카가치의 성격에 반해 쫓아다니게 된다. 비리를 저지른 사실을 릴리에게 들켜 갈등에 빠지지만 도시와 릴리를 구하기 위해 다시 한번 힘을 내기로 한다.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
편안하니깐 이번 여름 잘 써보자..	['PDT-B', 'O', 'O', 'O', 'O']
구글번역기 발음으론	['O', 'O']
다른 조화들도 가격 다 착했어요	['O', 'O', 'PDT-B', 'PDT-I', 'PDT-I']
있었다고 말하는 것이나 물에 빠져 뭔가를 본 것,	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
저도 벌써 몇통째 사용 중이에욤..ㅎㅎ	['O', 'O', 'O', 'O', 'O']
유승호, 고아라	['O', 'O']
활성제 완화!	['O', 'O']
엔딩스탭롤이 다 오른 후에 깜짝 영상이 하나 더 나온다. 본편 내용과는 상관없지만 본편 내용 중에 등장한 한 캐릭터의 이후 이야기를 보여주니 놓치지 않고 보도록. 영화비도 올랐는데 비싼 돈 내고 온 이상 영화의 모든 요소는 빠짐없이 봐줘야지.	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
케이스가 이렇게 이뻐도 되나요	['PDT-B', 'PDT-I', 'PDT-I', 'PDT-I']
냉각, 진동 총 여섯 가지 기능!	['O', 'O', 'O', 'O', 'O', 'O']
궁금하면 사용해 보기^^	['O', 'O', 'O']
시원한 스트라이프 디자인에	['PDT-B', 'PDT-I', 'PDT-I']
먼저 영상으로 만나볼까요?	['O', 'O', 'O']
엄마가 지켜줄게 #건강하게만자라다오!! ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀	['O', 'O', 'O', 'O']
얼굴전체에 부드럽게 쓸어주는 정밀한커팅으로	['O', 'PDT-B', 'PDT-I', 'PDT-B']
굉장히 흔들렸고 굉장히 맛없어보임	['O', 'O', 'O', 'O']
요즘 피부 좋아졌다는 이야기 종종 듣는데염 >_< ..	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
이번주는 정말 어디 안가고 ...	['O', 'O', 'O', 'O', 'O']
그 막판 반전이라는 것도 영화를 보다보면 생각보다 일찍 드러나긴 하지만.	['O', 'O', 'MOV-B', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I', 'MOV-I']
워낙에 아이 장난감도 많은데다	['O', 'O', 'O', 'O']
샤워 후 팔다리에도 듬뿍~	['O', 'O', 'O', 'O']
재밌는 영화가 많이 나와서 좋은 요즘 :)	['MOV-B', 'O', 'O', 'O', 'O', 'O', 'O']
#영화 #러스트앤본, 절망을 희망으로 탈바꿈시킨 힘 `사랑`	['O', 'O', 'O', 'O', 'O', 'O', 'O']
